id,manufacturer,name,current_url,best_match_path,overlap_ratio,confidence,ties,candidate_count
807f91d1-7c4e-4055-a9c1-76926c788aee,vokera,Vokera Synergy E,https://www.freeboilermanuals.com/assets/pdf/vokera/synergy_e_installation_and_servicing_instructions.pdf,,0,none,0,0
810a665f-d93c-4711-b9dc-8c1400e5b299,vokera,Vokera Vision System 25S,https://www.freeboilermanuals.com/assets/pdf/vokera/vision_s.pdf,,0,none,0,0
83477c9d-161f-4001-a318-61aff9dd96df,vokera,Vokera Maxim 25-29,https://www.freeboilermanuals.com/assets/pdf/vokera/maxim_29.pdf,,0,none,0,0
8386901d-b56e-4f8d-b7d3-97cf5ef6269a,vokera,Vokera Unica MAX 20S-30S,https://www.freeboilermanuals.com/assets/pdf/vokera/MAX20S.pdf,,0,none,0,0
85c279b9-8b71-4f89-a298-efedbb8d4e5b,vokera,Vokera 12-48 RS Mynute,https://www.freeboilermanuals.com/assets/pdf/vokera/12_48_rs_mynute_installation_and_servicing_instructions.pdf,,0,none,0,0
88a051e3-c333-4fb2-8007-eaa2595f4021,vokera,Vokera Unica MAX 35C-40C,https://www.freeboilermanuals.com/assets/pdf/vokera/MAX35C.pdf,,0,none,0,0
892fbb80-0573-4fd3-bc08-16f2a5e5c3ed,vokera,Vokera Vision Combi 25-30 non ErP,https://www.freeboilermanuals.com/assets/pdf/vokera/Vision-Combi-25-30C.pdf,,0,none,0,0
8ab935b4-9ba8-42a5-af89-ba479a0c7a93,vokera,Vokera Hydra,https://www.freeboilermanuals.com/assets/pdf/vokera/hydra_installation_and_servicing_instructions.pdf,,0,none,0,0
8ff62358-815a-448e-b2bf-94a131edea04,vokera,Vokera Compact 24-28,https://www.freeboilermanuals.com/assets/pdf/vokera/vokcom28_22535_t.PDF,,0,none,0,0
93cf5a1e-1ba9-4705-a0b9-8fc487d7a9ec,vokera,Vokera Evolve 24C-28C-32C-36C-42C,https://www.freeboilermanuals.com/assets/pdf/vokera/EVOLVE.pdf,,0,none,0,0
981e5a50-f420-44e7-af52-78f42aa191d4,vokera,Vokera Easi-Heat i 25C-29C,https://www.freeboilermanuals.com/assets/pdf/vokera/Easi-heat-i.pdf,,0,none,0,0
994d4827-9ce2-4f29-a1c1-c0784468fb70,vokera,Vokera 20-80CF Flowmatic,https://www.freeboilermanuals.com/assets/pdf/vokera/20_80_cf_and_24_96_cf_flowmatic_installation_and_servicing_instructions.pdf,,0,none,0,0
9b3847d7-7793-4ec4-8d40-8b1fa4cde185,vokera,Vokera Vibe 20A-25A,https://www.freeboilermanuals.com/assets/pdf/vokera/VIBE-20A-25A-Installation-and-Servicing-Manual.pdf,,0,none,0,0
ae2a1415-298f-43eb-954b-201ab5b956b5,vokera,Vokera 24-96RSE Flowmatic,https://www.freeboilermanuals.com/assets/pdf/vokera/24_96_rse_flowmatic_installation_and_servicing_instructions.pdf,,0,none,0,0
b2979465-7667-40a2-9739-1a28f395eb45,vokera,Vokera Vision Plus 35C-40C,https://www.freeboilermanuals.com/assets/pdf/vokera/Vplus35c.pdf,,0,none,0,0
b73e211e-c460-4406-90fb-df27fb7335db,vokera,Vokera Compact A 25-29,https://www.freeboilermanuals.com/assets/pdf/vokera/Compact-A-User-and-Installation-manual.pdf,,0,none,0,0
b8be99e6-d33a-4451-bcc1-6b78928e7a7f,vokera,Vokera Compact 25A-29A-32A,https://www.freeboilermanuals.com/assets/pdf/vokera/compact_32.pdf,,0,none,0,0
b8e7e583-bf56-4874-a4a2-3bc06f2cf6b7,vokera,Vokera Excel 25-29,https://www.freeboilermanuals.com/assets/pdf/vokera/excel_1.pdf,,0,none,0,0
b8fb1baf-0446-4d38-b52b-c2fe33234eaa,vokera,Vokera Linea Plus AG,https://www.freeboilermanuals.com/assets/pdf/vokera/linea_plus_ag_installation_and_servicing_instructions.pdf,,0,none,0,0
b94e2f39-5920-4ed2-b4e2-4d1f685557ec,vokera,Vokera Unica BHE,https://www.freeboilermanuals.com/assets/pdf/vokera/Unicabheinstall.pdf,,0,none,0,0
bbc1f8ad-cba4-4f9e-850d-7e2706ba37b5,vokera,Vokera Aquaflow Single Coil,https://www.freeboilermanuals.com/assets/pdf/vokera/aquaflow-installation-and-servicing-manual.pdf,,0,none,0,0
bcb69643-0c12-431b-bf0a-9f6d9c634702,vokera,Vokera Vision Plus 20S-25S-30S,https://www.freeboilermanuals.com/assets/pdf/vokera/Vplus20S.pdf,,0,none,0,0
c0678c14-cf98-4fbf-81e0-9d440be9d408,vokera,Vokera Easi-Heat Plus 24S-30S,https://www.freeboilermanuals.com/assets/pdf/vokera/Easi_heat_s.pdf,,0,none,0,0
c10b937b-306f-4bd1-8ced-2e646533ad0f,vokera,Vokera Eclipse ESS,https://www.freeboilermanuals.com/assets/pdf/vokera/eclipse_ess_installation_and_servicing_instructions.pdf,,0,none,0,0
c4c6b180-bd94-4507-90fd-8639d3cdfdef,vokera,Vokera Mynute VHE 12-15,https://www.freeboilermanuals.com/assets/pdf/vokera/mynute-vhe-12-15-installation-and-servicing-manual.pdf,,0,none,0,0
c511d6cf-3684-4ce3-a8dd-cab76b39bcaf,vokera,Vokera Mynute VHE 20,https://www.freeboilermanuals.com/assets/pdf/vokera/mynute-20-vhe-installation-and-servicing-manual.pdf,,0,none,0,0
cc8418e2-8039-4de7-a7e1-438f3c46ac4b,vokera,Vokera 12-48 RSE Mynute,https://www.freeboilermanuals.com/assets/pdf/vokera/12_48_rse_mynute_installations_-and_servicing_instructions.pdf,,0,none,0,0
cc9595b6-13a5-424c-a968-91f0bba550ee,vokera,Vokera Excell 80E-96E,https://www.freeboilermanuals.com/assets/pdf/vokera/excell_80e_and_96e_installation_and_servicing_instructions.pdf,,0,none,0,0
d811099a-7e4c-4d1a-b29a-5ee31b31cd0c,vokera,Vokera Linea ONE 38 HE,https://www.freeboilermanuals.com/assets/pdf/vokera/Linea-One-installation-manual.pdf,,0,none,0,0
db494fcf-2ff9-4814-9ea8-24722a0beb60,vokera,Vokera Vision System 20-25 SGC,https://www.freeboilermanuals.com/assets/pdf/vokera/vision-system.pdf,,0,none,0,0
dd52c487-cc4f-49fa-80a4-feedde908ee2,vokera,Vokera Compact A v11,https://www.freeboilermanuals.com/assets/pdf/vokera/Compact-A-User-and-Install-Manual-v11.pdf,,0,none,0,0
ddc18c55-ae3a-4956-a5be-8be8d9e5d354,vokera,Vokera Linea Max,https://www.freeboilermanuals.com/assets/pdf/vokera/linea_max_installation_and_servicing_instructions.pdf,,0,none,0,0
e28848bf-f74c-4fac-8d12-6047adb85e9a,vokera,Vokera Condexapro 50M-100M-100S,https://www.freeboilermanuals.com/assets/pdf/vokera/condexapro-installation-and-servicing-manual.pdf,,0,none,0,0
e63f41f5-425e-4330-9f05-0a17860da7cb,vokera,Vokera Mynute 14-48SE-20-70SE,https://www.freeboilermanuals.com/assets/pdf/vokera/mynute_14_48se_20_70se.pdf,,0,none,0,0
efade2ae-ba1a-4f9c-b4d5-2718e1566855,vokera,Vokera Compact 24 SE,https://www.freeboilermanuals.com/assets/pdf/vokera/compact-24SE.pdf,,0,none,0,0
f1b0f4c3-fee6-4603-b43d-10343f697f8b,vokera,Vokera Mynute HE,https://www.freeboilermanuals.com/assets/pdf/vokera/mynute-he-installation-and-servicing-manual.pdf,,0,none,0,0
f48690f7-c290-4df9-b0f6-20231b722e47,vokera,Vokera Vision Combi 25-30C,https://www.freeboilermanuals.com/assets/pdf/vokera/vision-combi.pdf,,0,none,0,0
fe039366-73ec-47e7-baaa-e8f45ff16f92,vokera,Vokera Synergy,https://www.freeboilermanuals.com/assets/pdf/vokera/synergy_installation_and_servicing_instructions.pdf,,0,none,0,0
16b2af59-487d-4ba8-9e22-560007c569a7,worcester,Greenstar 8000 Life Combi Installation,https://www.worcester-bosch.co.uk/support/literature/download/release/8716121935/47445,dhs_manuals_all/worcester/GREENSTAR_8000_LIFE_35S_SYS_NG_installation.pdf,0.5,medium,1,582
4926c8cd-b94f-4dba-8779-c44d9d9da75c,worcester,Greenstar 8000 Life System Installation,https://www.worcester-bosch.co.uk/support/literature/download/release/8716121936/47446,dhs_manuals_all/worcester/GREENSTAR_8000_LIFE_35S_SYS_NG_installation.pdf,0.5,medium,1,582
7b22d9ae-a4ab-49dc-9be6-790677c60846,worcester,Greenstar 8000 Style Combi Installation,https://www.worcester-bosch.co.uk/support/literature/download/release/8716121937/47447,dhs_manuals_all/worcester/GREENSTAR_532I_COMBI_LPG_installation.pdf,0.4,medium,6,582
956cf8e7-ecb9-43b0-8020-b03cc0a46f22,worcester,Greenstar 8000 Style System Installation,https://www.worcester-bosch.co.uk/support/literature/download/release/8716121940/47451,dhs_manuals_all/worcester/GREENSTAR_12I_V2_SYSTEM_LPG_installation.pdf,0.4,medium,24,582
d6c42185-1903-4f5c-ba6e-5cd269a68a13,worcester,Greenstar 4000 Combi Installation,https://www.worcester-bosch.co.uk/support/literature/download/release/8716121938/47448,dhs_manuals_all/worcester/GREENSTAR_532I_COMBI_LPG_installation.pdf,0.5,medium,6,582
e869fec7-840c-4f43-8b24-01c2acf5fdd8,worcester,Greenstar 4000 System Installation,https://www.worcester-bosch.co.uk/support/literature/download/release/8716121939/47449,dhs_manuals_all/worcester/GREENSTAR_12I_V2_SYSTEM_LPG_installation.pdf,0.5,medium,24,582
3adeff57-4a94-4ac4-bc7d-9d91fa088246,zanussi,Zanussi Ultra System 15-18-24-30,https://www.freeboilermanuals.com/assets/pdf/Zanussi/zanussi-system.compressed.pdf,,0,none,0,0
91b031d0-06d7-4b2a-a082-ef4f67b9339f,zanussi,Zanussi Ultra Combi 30-35,https://www.freeboilermanuals.com/assets/pdf/Zanussi/zanussi-combi.1.pdf,,0,none,0,0
